                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5009,                 1.9953,                 1.2862,                0.45159,                0.34438,                0.28745,                0.18759,                 1.4299,                 1.8397,                  1.265,              0.0002737,              0.0002737,              0.0002737
                      2,                 1.4822,                 1.9398,                 1.2676,                0.45135,                0.33723,                0.28234,                0.18229,                 1.4492,                  1.893,                 1.2686,             0.00054591,             0.00054591,             0.00054591
                      3,                 1.4777,                 1.9221,                 1.2682,                0.47588,                0.33868,                0.28496,                0.17623,                 1.4824,                  1.922,                   1.29,             0.00081262,             0.00081262,             0.00081262
                      4,                 1.4556,                 1.8824,                 1.2547,                0.44222,                0.33578,                0.28896,                0.18674,                 1.3989,                 1.8501,                 1.2648,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.4405,                 1.8647,                 1.2483,                 0.3552,                0.32611,                0.28501,                  0.185,                 1.4279,                 1.8544,                 1.2721,             0.00080826,             0.00080826,             0.00080826
                      6,                 1.4401,                 1.8614,                 1.2539,                0.35534,                0.32208,                0.28526,                0.18711,                 1.4376,                 1.9244,                 1.2847,             0.00080001,             0.00080001,             0.00080001
                      7,                 1.4116,                  1.833,                 1.2425,                0.34925,                0.32876,                0.28647,                0.18554,                 1.4143,                 1.8476,                 1.2599,             0.00079177,             0.00079177,             0.00079177
                      8,                 1.4152,                  1.832,                 1.2412,                0.49331,                0.33925,                0.30529,                 0.2041,                 1.3813,                 1.7956,                 1.2572,             0.00078352,             0.00078352,             0.00078352
                      9,                 1.3979,                 1.8124,                 1.2354,                0.47667,                0.34987,                0.30822,                 0.2037,                 1.3691,                 1.8046,                 1.2409,             0.00077527,             0.00077527,             0.00077527
                     10,                 1.4086,                 1.8163,                 1.2462,                0.48364,                0.35405,                0.30432,                 0.1994,                 1.4122,                 1.8057,                 1.2568,             0.00076703,             0.00076703,             0.00076703
                     11,                 1.4013,                 1.7939,                  1.233,                0.45638,                0.37126,                0.31165,                0.20249,                 1.3858,                 1.7916,                  1.244,             0.00075878,             0.00075878,             0.00075878
                     12,                 1.3911,                 1.7828,                 1.2313,                0.48441,                0.36507,                0.32139,                0.21303,                 1.3598,                 1.7787,                 1.2378,             0.00075053,             0.00075053,             0.00075053
                     13,                 1.3649,                 1.7475,                 1.2126,                0.49943,                0.35141,                0.31767,                0.21264,                 1.3426,                  1.758,                  1.228,             0.00074229,             0.00074229,             0.00074229
                     14,                 1.3589,                 1.7551,                 1.2081,                0.49976,                0.36267,                0.32457,                0.21637,                 1.3523,                 1.7529,                 1.2407,             0.00073404,             0.00073404,             0.00073404
                     15,                 1.3724,                 1.7486,                 1.2165,                0.53652,                0.33223,                0.32014,                0.21808,                 1.3139,                 1.7651,                 1.2286,             0.00072579,             0.00072579,             0.00072579
                     16,                 1.3383,                 1.7179,                 1.2097,                0.47747,                0.37606,                0.32196,                0.21253,                 1.3345,                 1.7438,                 1.2273,             0.00071755,             0.00071755,             0.00071755
                     17,                 1.3304,                 1.7069,                 1.2062,                0.51544,                0.36029,                0.32488,                0.21847,                 1.3258,                 1.7494,                 1.2299,              0.0007093,              0.0007093,              0.0007093
                     18,                 1.3231,                 1.7055,                 1.2016,                0.48863,                0.36466,                0.32469,                0.21928,                 1.3264,                 1.7573,                 1.2264,             0.00070105,             0.00070105,             0.00070105
                     19,                 1.3227,                 1.7031,                 1.2005,                0.50238,                0.36615,                0.32596,                0.21854,                 1.3175,                 1.7431,                 1.2239,             0.00069281,             0.00069281,             0.00069281
                     20,                 1.3214,                 1.6995,                 1.1991,                 0.4782,                0.36529,                0.32616,                0.21893,                 1.3535,                 1.7297,                 1.2364,             0.00068456,             0.00068456,             0.00068456
                     21,                 1.3187,                 1.6843,                 1.1971,                0.51296,                0.36401,                0.33637,                0.22932,                 1.3151,                 1.7422,                 1.2174,             0.00067631,             0.00067631,             0.00067631
